tv_show,episode,rating,year,total_votes,desc,genre,encoded_title,genre1,genre2,genre3
Attack on Titan,Declaration of War,9.9,2021,52159,"Eren confronts Reiner, while Willy Tybur gives a speech to the entire world in which he aims to solve the endless cycle of hate directed towards Eldians.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Avatar: The Last Airbender,"Sozin's Comet, Part 4: Avatar Aang",9.9,2008,10469,"Aang's moment of truth arrives. Can he defeat Ozai, the Phoenix King? Will he be forced to take a human life? All the characters face their greatest challenges.","Animation, Action, Adventure",tt0417299,Animation,Action,Adventure
Vinland Saga,End of The Prologue,9.9,2019,6899,"As the Imperial Council proceeds, Askeladd is shocked by the news of Wales. As he gets called by the king, he makes a last stand.","Animation, Action, Adventure",tt10233448,Animation,Action,Adventure
BoJack Horseman,The View from Halfway Down,9.9,2020,14122,BoJack reconnects with faces from his past.,"Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
Attack on Titan,That Day,9.9,2019,32507,"A look into Grisha's memories shows Eren the many secrets his father was hiding, including one which led to his mother's demise.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Attack on Titan,Midnight Sun,9.9,2019,36764,"As the battle for Shiganshina draws to a close, Eren meets a mysterious figure, and a fierce conflict breaks out within the remaining Scouts over who is to receive the injection and be revived.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Six Feet Under,Everyone's Waiting,9.9,2005,9229,"Nate and Brenda's daughter Willa is born, but 2 months early and at only 2 lb. 4 oz., requiring a prolonged hospital stay. Nate is convinced she won't make it and insists that he can't ...                See full summary »","Comedy, Drama",tt0248654,Comedy,Drama,
Star Wars: The Clone Wars,Victory and Death,9.8,2020,12152,Ahsoka and Rex must use their wit and skills to survive the turbulent end of the Clone Wars.,"Animation, Action, Adventure",tt0458290,Animation,Action,Adventure
Star Wars: The Clone Wars,Shattered,9.8,2020,11049,"After capturing Maul on Mandalore, Ahsoka's journey to the Jedi Council is disrupted when Order 66 is declared, turning her world upside down.","Animation, Action, Adventure",tt0458290,Animation,Action,Adventure
Star Wars: The Clone Wars,The Phantom Apprentice,9.8,2020,12118,Ahsoka leads Republic clones to confront Maul's forces on Mandalore. Maul senses the impending chaos and makes a calculated play to ensure his own survival.,"Animation, Action, Adventure",tt0458290,Animation,Action,Adventure
Chernobyl,Vichnaya Pamyat,9.8,2019,57971,"Valery, Boris and Ulana risk their lives and reputations to expose the truth about Chernobyl.","Drama, History, Thriller",tt7366338,Drama,History,Thriller
Barry,ronny/lily,9.8,2019,8270,An encounter that Barry never could have predicted has surprising effects.,"Action, Comedy, Crime",tt5348176,Action,Comedy,Crime
Better Call Saul,Bad Choice Road,9.8,2020,15124,"In the wake of Jimmy's traumatic misadventure, Kim takes stock of what is important; Jimmy attempts to return to business as usual, but it's more difficult than anticipated; Gus and Mike set a plan in motion.","Crime, Drama",tt3032476,Crime,Drama,
My Hero Academia,One For All,9.8,2018,5161,All Might's time is running out as he faces his ultimate nemesis head on. Will he finally be able to defeat All For One once and for all?,"Animation, Action, Adventure",tt5626028,Animation,Action,Adventure
BoJack Horseman,Free Churro,9.8,2018,13553,BoJack delivers a eulogy at a funeral.,"Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
Violet Evergarden,Loved Ones Will Always Watch Over You,9.8,2018,3371,Violet goes to assist a medically ill woman whose daughter Anne assumes that she is being ignored by her mother. It isn't until later on her life she realizes what she was really doing for her.,"Animation, Drama, Fantasy",tt7078180,Animation,Drama,Fantasy
Mr. Robot,409 Conflict,9.8,2019,11685,Mr. Robot and Darlene attempt to take down the Deus group as Elliot remains unstable; Price faces off with Whiterose; Whiterose tries to manipulate Elliot; Mr. Robot struggles to figure out how to help Elliot find himself.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Attack on Titan,Scream,9.8,2017,21152,"Eren encounters the very Titan that devoured his mother. Unable to move his body, Hannes steps in to protect him. Not knowing what to brandish their swords against, the Scouts battle on.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
BoJack Horseman,Time's Arrow,9.8,2017,9960,"In 1963, young socialite Beatrice Sugarman meets the rebellious Butterscotch Horseman at her debutante party.","Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
Regular Show,A Regular Epic Final Battle,9.8,2017,4041,"In the series finale, Mordecai, Rigby and the park workers aids pops in an epic final battle against Anti-pops on Lollipop world and to save the universe, that's right, the universe!","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
The Americans,START,9.8,2018,3937,The Jennings family face a choice that will change their lives forever.,"Crime, Drama, Mystery",tt2149175,Crime,Drama,Mystery
Game of Thrones,The Spoils of War,9.8,2017,85925,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Rick and Morty,The Ricklantis Mixup,9.8,2017,30212,"Whilst Rick and Morty go off to adventure in Atlantis, we take a look at how the Citadel has rebuilt itself since both Rick and Morty visited.","Animation, Adventure, Comedy",tt2861424,Animation,Adventure,Comedy
Gravity Falls,Weirdmageddon 3: Take Back the Falls,9.8,2016,4436,The Pines family make their greatest sacrifice yet and arrive at their ultimate fate following a final showdown with Bill.,"Animation, Action, Adventure",tt1865718,Animation,Action,Adventure
Suits,Faith,9.8,2015,8897,"Hardman prepares his takeover of the firm, Jessica appears to be on her way out, and Harvey is nowhere to be found. Meanwhile, Mike turns to the church to come up with a solution for his dilemma with Rachel.","Comedy, Drama",tt1632701,Comedy,Drama,
Person of Interest,Return 0,9.8,2016,10090,"Finch, Reese, Fusco and Shaw embark on one last mission to prevent Samaritan from destroying The Machine and cementing its hold over mankind.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Person of Interest,The Day the World Went Away,9.8,2016,6139,Finch's number comes up when a fatal error blows his cover identity and sets off a deadly series of escalating encounters with Samaritan's operatives.,"Action, Crime, Drama",tt1839578,Action,Crime,Drama
Person of Interest,YHWH,9.8,2015,6700,"Finch and Root race to save The Machine, which has been located by the rival AI, Samaritan.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Gravity Falls,Not What He Seems,9.8,2015,4942,The twins wonder if they really know Grunkle Stan after he is taken into custody by the government agents.,"Animation, Action, Adventure",tt1865718,Animation,Action,Adventure
Person of Interest,If-Then-Else,9.8,2015,12310,"Samaritan launches a cyber-attack on the stock exchange, leaving the team with no choice but to embark on a possible suicide mission in a desperate attempt to stop a global economic catastrophe.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Hannibal,The Wrath of the Lamb,9.8,2015,13649,"Will hatches a cunning plot to slay Francis Dolarhyde, using Hannibal Lecter in his ploy. Bedelia voices concern about the perilous plan as Will continues his game with Hannibal, though Will may have to face his darkest fears.","Crime, Drama, Horror",tt2243973,Crime,Drama,Horror
Hunter x Hunter,This Person × and × This Moment,9.8,2014,3957,Meruem tries once more to beat Komugi in gungi.,"Animation, Action, Adventure",tt2098220,Animation,Action,Adventure
It's Always Sunny in Philadelphia,Charlie Work,9.8,2015,7782,Charlie is determined to make sure Paddy's Pub passes its health inspection.,Comedy,tt0472954,Comedy,,
Hunter x Hunter,Anger × and × Light,9.8,2014,5247,Gon goes beyond his body limits to achieve monstrous power. Neferpitou (Pitou) become overwhelmed by Gon's New power. Kilua rushes to Gon in order to save him from Pitou.,"Animation, Action, Adventure",tt2098220,Animation,Action,Adventure
Regular Show,Skips' Story,9.8,2014,2260,While on break Skips tells Mordecai and Rigby the story and the truth about how he became immortal.,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Hunter x Hunter,Zero × and × Rose,9.8,2014,5310,Netero and the King's fierce battle continues. The King feels fear for the first time and Netero demonstrates the zenith of nen mastery.,"Animation, Action, Adventure",tt2098220,Animation,Action,Adventure
Person of Interest,The Devil's Share,9.8,2013,5923,"The team seeks justice for Carter's murder, but Finch realizes that one person may go too far in the battle against HR. Meanwhile, NYPD officer Patrick Simmons' number comes up.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Person of Interest,The Crossing,9.8,2013,5905,"Danger closes in when the epic battle to bring the criminal organization HR to justice reaches new heights. And when the Machine suddenly gives out Reese's number, the POI team faces their greatest threat yet.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Hannibal,Mizumono,9.8,2014,19053,"Jack devises a plan to apprehend Hannibal, while Hannibal prepares for his departure. Will makes his decision, and it results in devastating consequences.","Crime, Drama, Horror",tt2243973,Crime,Drama,Horror
Young Justice,Endgame,9.8,2013,2084,"When the earth is threatened by the Reach, the team must team up with Lex Luthor and fight the reach with out the Justice League.","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Young Justice,Summit,9.8,2013,2182,"The Light calls a summit to decide the final fate of Aqualad, the team ... and the entire planet Earth!","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
The Office,Finale,9.8,2013,16180,"One year later, Dunder Mifflin employees past and present reunite for a panel discussion about the documentary and to attend Dwight and Angela's wedding.",Comedy,tt0386676,Comedy,,
Regular Show,Exit 9B,9.8,2012,2396,"When everyone is brainwashed and the park is destroyed, Mordecai and Rigby have to bring everyone back their old selves so they can prevent a highway from being built over the park.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Breaking Bad,To'hajiilee,9.8,2013,40667,Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.,"Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Young Justice,Auld Acquaintance,9.8,2012,2243,"The team finally learns the identity of the traitor in their midst, forcing a battle against an enemy more dangerous than any they've ever faced before!","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Community,Remedial Chaos Theory,9.8,2011,10931,"At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities.",Comedy,tt1439629,Comedy,,
The Office,"Goodbye, Michael",9.8,2011,13141,"As the office gets ready for Michael's final day at Dunder Mifflin, Michael doesn't tell anyone that he's leaving a day early. Meanwhile, Deangelo accompanies a nervous Andy on a visit to one of Michael's old clients.",Comedy,tt0386676,Comedy,,
Campus Diaries,Episode #1.12,9.8,2022,1165,"In this episode of Campus Diaries, everyone is on their way to begin the most important chapter of their lives. Chloe is leaving while Raghav gets to know that Sanya has liked him all this ...                See full summary »","Comedy, Drama, Romance",tt15295490,Comedy,Drama,Romance
Community,Modern Warfare,9.8,2010,11768,"Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta.",Comedy,tt1439629,Comedy,,
Succession,All the Bells Say,9.8,2021,7824,"Matsson's vision for the business leads Shiv and Roman to manage the fallout, while Logan weighs his options.",Drama,tt7660850,Drama,,
Dhindora,Samay Ka Pahiya,9.8,2021,7602,Bablooji is given some more bad news and is fired from his office but Fate is not done with him just yet.,Comedy,tt14650074,Comedy,,
Dhindora,Toota Ek Taara,9.8,2021,16718,The truth shocks the family and all hell breaks loose. Bhuvan delivers a thought-provoking monologue. Babloo and family slowly begin to move on from the tragedy. Bhuvan's unsure of his future with Tara.,Comedy,tt14650074,Comedy,,
Dhindora,DTYDHTB,9.8,2021,12294,Hola gets beaten for what he did and gives up his confession. Bhuvan comes to know that his father Mr. Babloo has been acting all along and hasn't actually lost his memory.,Comedy,tt14650074,Comedy,,
Dhindora,Erection in progress,9.8,2021,12515,We come to know who caused the accident and drama ensues. The local minister promises to build a statue of Babloo ji in the park. Detective Mangloo shares a crucial piece of evidence which could lead to the true perpetrator.,Comedy,tt14650074,Comedy,,
Dhindora,Saste Sherlock,9.8,2021,11126,Titu Mama manages to solve his problem and be there for the family. Babloo is discharged and is greeted by the neighbors waiting for him at home. Love is in the air for Bhuvan. A famous detective helps the trio to find something suspicious.,Comedy,tt14650074,Comedy,,
Dhindora,Nano Thug Lenge,9.8,2021,9427,"The neighbors visit Babloo to congratulate him for his 'win'. Sameer, Bhuvan and Bancho go to interrogate a possible suspect. It's love at first sight for Bhuvan when he meets Dr. Tara. Janki calls Titu Mama for help.",Comedy,tt14650074,Comedy,,
Dhindora,Baasi Roti,9.8,2021,10161,"Bablooji has met with a lethal accident and is admitted to a hospital, the rest of family comes to know about the lottery. Will Babloo survive the fatal accident?",Comedy,tt14650074,Comedy,,
Dhindora,Lag Gayi,9.8,2021,26605,"Babloo and his family lead an ordinary life, one day by a stroke of luck, he wins a lottery.",Comedy,tt14650074,Comedy,,
To Your Eternity,Awakening,9.8,2021,1061,"When Gugu and Rean are about to confess their love for each other, a Nokker attacks the party, sending the guests into panic. Fushi and Gugu attempt to fight it but Gugu's special skill has no effect.","Animation, Adventure, Drama",tt12063450,Animation,Adventure,Drama
To Your Eternity,Those Who Follow,9.8,2021,1236,Parona and the others escape from the prison under the cover of night and begin their trek back home. But Hayase and her warriors catch up to them.,"Animation, Adventure, Drama",tt12063450,Animation,Adventure,Drama
Dexter,The Getaway,9.8,2009,13049,"Dexter and Arthur find themselves on a collision course, as Debra unearths a shocking long-hidden truth, Rita admits her marriage to Dexter is troubled, and Batista and LaGuerta face the consequences of an ethics breach. Season Finale.","Crime, Drama, Mystery",tt0773262,Crime,Drama,Mystery
Attack on Titan,Savagery,9.8,2021,22303,"The Jaegerists capture Hange and the others. Staring intensely at Armin and Mikasa, Eren says that he wants to talk. Levi confronts Zeke.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Black Clover,Faraway Future,9.8,2021,2249,"Nacht summons the devil who had been giving Asta his powers all this time. In order to use his devil powers to their fullest extent, Asta must defeat his devil and bind him, but he also ...                See full summary »","Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Scrubs,My Finale: Part 2,9.8,2009,4423,"J.D. continues his last day at Sacred Heart, and tries to hold out hope for a great sendoff.","Comedy, Drama",tt0285403,Comedy,Drama,
"Re: Zero, Starting Life in Another World",Love Me Down to My Blood and Guts,9.8,2021,2339,"Garfiel and Frederica continue their fight with Elsa and Meili while Subaru, Otto, and Petra are trying to take down the Guiltylowe, in the meantime, Ram and Puck are fighting Roswaal, and Emilia is facing the third trial.","Animation, Adventure, Drama",tt5607616,Animation,Adventure,Drama
Code Geass,Re;,9.8,2008,6104,Lelouch tries to persuade Nunnally into giving him the key of Damocles as the battle concludes.,"Animation, Action, Drama",tt0994314,Animation,Action,Drama
The Mandalorian,Chapter 16: The Rescue,9.8,2020,51532,The Mandalorian and his allies attempt a daring rescue.,"Action, Adventure, Fantasy",tt8111088,Action,Adventure,Fantasy
House M.D.,Wilson's Heart,9.8,2008,8734,"The team works to save someone close to a central character's heart. The key is inside House's head, but he is in a bad way himself.","Drama, Mystery",tt0412142,Drama,Mystery,
House M.D.,House's Head,9.8,2008,9281,"A bus that House was riding crashes. House claims there's a victim on the bus who is dying, but not from the bus accident. He stops at nothing to figure out who the patient is and what is ailing him/her.","Drama, Mystery",tt0412142,Drama,Mystery,
Avatar: The Last Airbender,Sozin's Comet,9.8,2008,6221,"Zuko battles his sister with Katara's help for the right to be named Fire Lord. Elsewhere, Aang meets Ozai just as the comet arrives.","Animation, Action, Adventure",tt0417299,Animation,Action,Adventure
Black Clover,The Final Attack,9.8,2020,1339,"Licht and Lumiere fight against the devil using incredibly powerful magic. But the devil has incredible regeneration powers and quickly heals himself, making him difficult to defeat.","Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Succession,This Is Not for Tears,9.8,2019,7014,Logan looks for a sacrificial lamb among his closest allies as the future of the company hangs in the balance.,Drama,tt7660850,Drama,,
Warrior,Enter the Dragon,9.8,2020,1835,[Cinemax] HD. 'Enter the Dragon.' (Season 2) Enemies become allies when chaos erupts in Chinatown.,"Action, Crime, Drama",tt5743796,Action,Crime,Drama
Black Clover,We Won't Lose to You,9.8,2019,1254,"Asta confronts his rival Yuno, one of many Golden Dawn members to have been taken over by elves. Licht is spurred to action, as are Yami and Finral.","Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Mr. Robot,"Hello, Elliot",9.8,2019,16146,"Elliot gets to Coney Island, and the delusion begins to slip. Mr. Robot reveals the truth.","Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Black Clover,Julius Novachrono,9.8,2019,1581,"The battle rages on between the Wizard King and Licht, who holds a kingdom's worth of innocent people hostage. Julius recalls his greatest motivation.","Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Attack on Titan,Attack Titan,9.8,2019,18851,"Eren learns the truth about his Titan powers, his Father and himself. The Survey Corps have a meeting that discusses the future of Eldia with all their new information.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Doctor Who,Blink,9.8,2007,19994,Sally Sparrow receives a cryptic message from the Doctor about a mysterious new enemy species that is after the TARDIS.,"Adventure, Drama, Sci-Fi",tt0436992,Adventure,Drama,Sci-Fi
The West Wing,Two Cathedrals,9.8,2001,2921,"As the Haitian army continues their seizure of the American embassy there, Bartlet and the staff prepare for the announcement that Bartlet has M.S. and the President must decide whether or ...                See full summary »",Drama,tt0200276,Drama,,
JoJo's Bizarre Adventure,The Mystery of King Crimson,9.7,2019,1158,"Bruno continues his desperate struggle against the boss, but cannot comprehend the nature of his Stand, King Crimson. When the dust settles, a decision is made that will change the lives of the gang forever.","Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Attack on Titan,Descent,9.7,2019,16871,"Though their Thunder Spears prove effective, the Scouts' celebration is short-lived as disaster descends upon Shiganshina.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Attack on Titan,Thunder Spears,9.7,2019,16214,"Against a rush of enemies, the Scouts scramble to defend their horses. But despite falling into a trap, they have their own surprise for the Armored Titan.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Invincible,Where I Really Come From,9.7,2021,9105,Mark must prove he's become the hero he's always wanted to be by stopping an unstoppable force.,"Animation, Action, Adventure",tt6741278,Animation,Action,Adventure
The Promised Neverland,150146,9.7,2019,4510,"Emma and the others continue to carry out their escape plan. Ray is shocked by the results of the kids' training that was set up by Emma and Norman. During their escape, Isabella calls for reinforcements to attempt to capture the children.","Animation, Action, Adventure",tt8788458,Animation,Action,Adventure
Steven Universe,Change Your Mind,9.7,2019,3831,"After landing on homeworld, Steven embarks on a journey to convince White Diamond to listen to him so he can help the corrupted gems back on Earth.","Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Star Wars: The Clone Wars,Old Friends Not Forgotten,9.7,2020,9260,"Ahsoka contacts Anakin and Obi-Wan, who must decide whether to help her pursue Maul on Mandalore or defend Coruscant.","Animation, Action, Adventure",tt0458290,Animation,Action,Adventure
Attack on Titan,The Town Where Everything Began,9.7,2019,16544,"The operation to retake Wall Maria commences in Shiganshina, the town where everything began. But when the Scouts arrive, something seems very wrong.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Better Call Saul,Bagman,9.7,2020,15074,"When a simple errand for a client goes sideways, Jimmy is pushed to the limit; Mike takes measures to contain the wrath of the cartel; Lalo gets an unexpected visitor.","Crime, Drama",tt3032476,Crime,Drama,
Attack on Titan,Wish,9.7,2018,14431,"As battle breaks out to prevent the ritual, Historia makes a shocking decision which leads to catastrophe.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Steven Universe,Reunited,9.7,2018,1995,Steven brings everyone together for a special reunion.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Lucifer,Who's da New King of Hell?,9.7,2019,9867,"With murderous demons on the loose in Los Angeles, it's up to Lucifer to rein in the chaos and protect the ones he most cares about.","Crime, Drama, Fantasy",tt4052886,Crime,Drama,Fantasy
Lucifer,A Devil of My Word,9.7,2018,13382,"Shocked by someone's death, Chloe, Lucifer and the rest of the team work together to investigate and take down the killer. Then, Lucifer has an epiphany, Maze decides to mend a broken friendship and Chloe finally sees the truth.","Crime, Drama, Fantasy",tt4052886,Crime,Drama,Fantasy
Steven Universe,A Single Pale Rose,9.7,2018,2054,Steven helps Pearl find her cell phone.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Adventure Time,Come Along With Me,9.7,2018,3103,"BMO narrates ""The Great Gum War"" in which Finn, Jake, Marceline, PB and the Candy Kingdom go to war against Gumbald and his army that will determine the fate of Ooo once and for all.","Animation, Action, Adventure",tt1305826,Animation,Action,Adventure
Mr. Robot,405 Method Not Allowed,9.7,2019,11955,Dom has an unpleasant Christmas. Darlene and Elliot perform a daring infiltration. Krista prepares for a date.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Atlanta,Teddy Perkins,9.7,2018,6311,"When Darius goes to pick up a piano, he meets Teddy Perkins, a strange, eccentric man who makes him feel uneasy.","Comedy, Drama, Music",tt4288182,Comedy,Drama,Music
Young Justice,Terminus,9.7,2019,1663,The hunt for Halo is on. Pray the team doesn't find her.,"Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Young Justice,Evolution,9.7,2019,1815,"Aliens once again threaten the Earth, but with the Justice League split and scattered, only Earth's first and greatest hero can save us!","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
My Hero Academia,Shoto Todoroki: Origin,9.7,2017,2587,Izuku forces Todoroki to face his past and himself as they square off in the first match of the second round of the finals.,"Animation, Action, Adventure",tt5626028,Animation,Action,Adventure
Attack on Titan,Da Tou Kyou,9.7,2017,13248,"With a new enemy revealed, Eren and the Scouts fight back using all the techniques at their disposal. However, the Armored and Colossal Titan have other plans in mind.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Samurai Jack,Episode XCIV,9.7,2017,1381,"A gravely injured Samurai Jack chooses to create his own fate by going up against the deadliest foes he's ever faced, Assassins from the Cult of Aku.","Animation, Action, Adventure",tt0278238,Animation,Action,Adventure
Samurai Jack,Episode XCIII,9.7,2017,1914,"Out of weapons and pursued relentlessly by the masterful seven Daughters of Aku, Jack faces what may be his final confrontation.","Animation, Action, Adventure",tt0278238,Animation,Action,Adventure
Mr. Robot,eps3.5_kill-pr0cess.inc,9.7,2017,9220,Elliot faces off with Mr. Robot; Dom gets tired of the red tape; Tyrell has a new plan.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Mr. Robot,eps3.4_runtime-err0r.r00,9.7,2017,10226,Elliot tries to piece everything together and stop Stage 2 as chaos quickly unfolds at E Corp; Angela tries to do a job intended for Elliot while avoiding imminent threats; Darlene brings Elliot up to speed and tells him the truth.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
This Is Us,Super Bowl Sunday,9.7,2018,5573,Randall hosts a Super Bowl party; Kevin and Kate reconnect with their past.,"Comedy, Drama, Romance",tt5555260,Comedy,Drama,Romance
Regular Show,Cheer Up Pops,9.7,2017,2145,The gang try to support Pops for the imminent battle against Anti-Pops,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Regular Show,Meet the Seer,9.7,2017,2132,"After the incident between Pops and Anti-Pops, the gang search out to find the Seer.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
JoJo's Bizarre Adventure,"Goodbye, Morioh - The Heart of Gold",9.7,2016,1234,The final battle between Kira and the Morioh Warriors comes to a climactic end.,"Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Regular Show,No Train No Gain,9.7,2016,2092,The guys help Pops train.,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Haikyuu!!,The Absolute Limit Switch,9.7,2016,1054,"It's the last set and Karasuno is in the lead. Aoba Josai and Karasuno try their hardest to win, with the thought that the strongest six would be the ones who claim victory. But triumph is ...                See full summary »","Animation, Comedy, Drama",tt3398540,Animation,Comedy,Drama
Billions,Golden Frog Time,9.7,2017,2881,Chuck finds he has much at stake in the success of a new business venture; Axe takes out a massive short and takes steps to insure its failure. Wendy wrestles with a familiar and uncomfortable position: caught between Axe and Chuck.,Drama,tt4270492,Drama,,
Steven Universe,Mr. Greg,9.7,2016,1903,"Now owner of a massive fortune, Greg takes Steven to Empire City for a vacation, and Steven invites Pearl, despite the tensions between her and Greg.","Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Better Call Saul,Chicanery,9.7,2017,14800,Kim and Jimmy face off with an adversary. Jimmy looks to Chuck's past to secure his future. Jimmy loses an ally and gains another.,"Crime, Drama",tt3032476,Crime,Drama,
Arrow,Lian Yu,9.7,2017,7685,"Oliver assembles a group of unlikely allies - Slade, Nyssa, Merlyn and Digger Harkness - to engage in an epic battle against Chase and his army.","Action, Adventure, Crime",tt2193021,Action,Adventure,Crime
